Word,Description
Click and Type,"A feature that allows you to doubleclick a blank area of a document to position the cursor in that location, with the appropriate paragraph alignment already in place."
Cursor,A representation on the screen of the mouse pointer location.
desktop publishing,"A process that creates pages by combining text and objects, such as tables and graphics, in a visually appealing way."
dialog box launcher,"On the ribbon, a button at the bottom of some groups that opens a dialog box with features related to the group."
Draft view,A document view that displays the content of a document with a simplified layout.
drag,A way of moving or copying selected text by dragging it with the mouse pointer.
Dragging,"A way of moving objects by pointing to them, holding down the mouse button, moving the mouse pointer to the desired location, and releasing the button."
file format,The structure or organization of data in a file. The file format of a document is usually indicated by the file name extension.
Header,"A line, or lines, of content in the top margin area of a page in a document, typically containing elements such as the title, page number, or name of the author."
keyboard shortcut,Any combination of keystrokes that can be used to perform a task that would otherwise require a mouse or other pointing device.
landscape,The orientation of a picture or page where the width is greater than the height.
Live Preview,A feature that temporarily displays the effect of applying a specific format to the selected document element.
margin,The blank space outside the printing area on a page.
object,"An item, such as a graphic, video clip, sound file, or worksheet, that can be inserted into a document and then selected and modified."
orientation,The direction—horizontal or vertical—in which a page is laid out.
Outline view,A view that shows the headings of a document indented to represent their level in the document’s structure. You can also use outline view to work with master documents.
paragraph,"In word processing, a block of text of any length that ends when you press the Enter key."
portrait,The orientation of a picture or page where the page is taller than it is wide.
Print Layout view,"A view of a document as it will appear when printed; for example, items such as headers, footnotes, columns, and text boxes appear in their actual positions."
Quick Access Toolbar,"A small, customizable toolbar that displays frequently used commands."
ribbon,"A user interface design that organizes commands into logical groups, which appear on separate tabs."
ScreenTip,"A note that appears on the screen to provide information about a button, tracked change, or comment, or to display a footnote or endnote. ScreenTips also display the text that will appear if you choose to insert a date or AutoText entry."
selecting,Highlighting text or activating an object so that you can manipulate or edit it in some way.
selection area,An area in a document’s left margin in which you can click and drag to select blocks of text.
status bar,A row of information related to the current program. The status bar is usually located at the bottom of a window. Not all windows have a status bar.
tab,A tabbed page on the ribbon that contains buttons organized in groups.
thumbnail,"A small representation of an item, such as an image, a page of content, or a set of formatting, obtained by scaling a snapshot of it. Thumbnails are typically used to provide visual identifiers for related items."
View Shortcuts toolbar,A toolbar located at the right end of the status bar that contains tools for switching between views of document content and changes the display magnification.
Web Layout view,"A view of a document as it will appear in a Web browser. In this view, a document appears as one long page (without page breaks), and text and tables wrap to fit the window."
Word Help button,"The button located at the right end of the ribbon and labeled with a question mark (?), that provides access to the Word Help system."
word processing,"The writing, editing, and formatting of documents in a program designed for working primarily with text."
word wrap,The process of breaking lines of text automatically to stay within the page margins of a document or window boundaries.
